time_seconds,allocated_mb,reserved_mb,gpu_load_percent
0.013058185577392578,118.08642578125,136.0,26.0
0.11478948593139648,118.08642578125,136.0,0.0
0.21671485900878906,118.08642578125,136.0,0.0
0.3181493282318115,118.08642578125,136.0,0.0
0.4349555969238281,194.23486328125,214.0,0.0
0.5463955402374268,498.82861328125,520.0,0.0
0.6477854251861572,498.82861328125,520.0,0.0
0.7495605945587158,498.82861328125,520.0,8.3
0.8512377738952637,498.82861328125,520.0,32.0
0.9526808261871338,498.82861328125,520.0,6.4
1.0541589260101318,498.82861328125,520.0,1.5
1.1556804180145264,498.82861328125,520.0,29.5
1.2572150230407715,498.82861328125,520.0,12.6
1.3587243556976318,498.82861328125,520.0,9.2
1.460937738418579,498.82861328125,520.0,11.3
1.5624241828918457,498.82861328125,520.0,1.8
1.664008617401123,498.82861328125,520.0,16.3
1.7656519412994385,498.82861328125,520.0,13.0
1.8672764301300049,498.82861328125,520.0,18.4
1.9688360691070557,498.82861328125,520.0,0.0
2.070960521697998,498.82861328125,520.0,19.2
2.1721396446228027,498.82861328125,520.0,27.3
2.273782253265381,498.82861328125,520.0,15.5
2.3763864040374756,498.82861328125,520.0,26.4
2.4776551723480225,498.82861328125,520.0,5.3
2.5788638591766357,498.82861328125,520.0,22.1
2.6801438331604004,498.82861328125,520.0,23.1
2.7814533710479736,498.82861328125,520.0,0.0
2.882695436477661,498.82861328125,520.0,0.0
2.983961343765259,498.82861328125,520.0,17.0
3.085688829421997,498.82861328125,520.0,32.7
3.187324047088623,498.82861328125,520.0,51.8
3.2891316413879395,498.82861328125,520.0,36.6
3.3915562629699707,498.82861328125,520.0,41.5
3.4937283992767334,498.82861328125,520.0,48.8
3.595099925994873,498.82861328125,520.0,51.2
3.6966440677642822,498.82861328125,520.0,2.4
3.798145055770874,498.82861328125,520.0,36.1
3.900123119354248,498.82861328125,520.0,37.2
4.0023815631866455,498.82861328125,520.0,32.9
4.104044437408447,498.82861328125,520.0,35.0
4.205383062362671,498.82861328125,520.0,0.0
4.3070573806762695,498.82861328125,520.0,43.9
4.40950608253479,498.82861328125,520.0,36.6
4.5119616985321045,498.82861328125,520.0,0.0
4.613630533218384,498.82861328125,520.0,56.1
4.715713262557983,498.82861328125,520.0,49.9
